Region,Number of Attacks
Australasia & Oceania,282
Central America & Caribbean,10344
Central Asia,563
East Asia,802
Eastern Europe,5144
Middle East & North Africa,50474
North America,3456
South America,18978
South Asia,44974
Southeast Asia,12485
Sub-Saharan Africa,17550
Western Europe,16639
