Region,Number of Attacks
Australasia & Oceania,16
Central America & Caribbean,918
East Asia,78
Eastern Europe,26
Middle East & North Africa,1090
North America,1596
South America,1009
South Asia,51
Southeast Asia,194
Sub-Saharan Africa,242
Western Europe,4694
